name,latitude,longitude
burdalo,42.60612545,-1.112043285576722
cabezuela,38.711212,-3.262284584038597
puente santolea,40.74224755,-0.353888503773526
san salvador,41.7814088,0.2010957767511995
sistema lagos espot,,
moneva,41.14859315,-0.83528815
cecebre,43.287915850000005,-8.307749097008049
boadella,42.3305346,2.8572023
zufre,37.82950525,-6.2799212360283
edrada mao,40.38037215,-2.725425808930309
anchuricas,38.1956095,-2.5442984668498503
fitas,41.800075750000005,-0.0634225728603316
sistema capdella,43.00069655,-2.6473864155182527
barca,43.3026572,-6.31645032874182
siles,38.40750535,-2.601738558207553
vencias,41.4145529,-3.95741327154413
caceres   guadiloba,39.49323085195103,-6.317493977224539
rioseco,43.2241423,-5.463846322408532
vicario,39.067863200000005,-3.954444143780021
llerena,38.5370277,-5.824865173285084
pto  vallehermoso,28.1694553,-17.24881663572797
valdepatao,41.5575652,0.0403614
terroba,42.2573994,-2.4438584
montoro,38.54522145,-4.1078735904316535
tentudia,38.0918059,-6.312711183451643
guijo granadilla,40.2007097,-6.132929638315737
monteagudo,41.38655295,-2.1809923661038253
san lorenzo,40.5785762,-4.162561806853171
alcollarin,39.2455213,-5.7368176
certescans,42.7140699,1.2781385
sta uxia,40.4997408,-2.1065355
beninar,36.8879255,-3.030057363091482
villalba barros,38.6134592,-6.5091483
agavanzal  nª sª,,
alcantara,39.6938293,-6.807320478470311
santillana,40.7237665,-3.842204315087829
buseo,39.58693005000001,-0.9464887662307188
sistema aguas limpias,,
urdiceto,42.665033,0.2801125322274227
forcadas  as,42.5071156,-9.03694983194946
guistolas,42.3445748,-7.300108125306334
san martino,40.39429495,-4.371493808469522
loteta (la),41.815656950000005,-1.3278744292878646
cohilla,43.13312155,-4.387988433425448
salime,43.15237145,-6.874252823808328
brena ii,39.6266591,-6.709064822892362
pias (san agustin),28.3888095,-16.5829705
molino chincha,40.54202315,-2.16449064732433
nagore,42.85695395,-1.37192742451544
mequinenza,41.33985475,0.0938400473079545
alsa   mediajo,42.36158815,0.1830143312450101
sistema valle aran,43.00069655,-2.6473864155182527
ibiur,42.60612545,-1.112043285576722
albina,43.0022576,-2.6278046955506715
terradets,42.07047735,0.8892929992671873
melonares,37.77493995,-5.894021624024834
san rafael navallana,37.99142555,-4.66248134051421
rabanos,42.319986,-3.2702341
san bartolome,42.2179225,-1.152688379814923
sistema alto caldares,,
alfilorios,43.28908955,-5.921396253864083
martin gonzalo,38.105026800000005,-4.326010917995754
olivargas,42.60612545,-1.112043285576722
vellon (pedrezuela),40.767749,-3.623789224202629
benageber,39.7741822,-1.1147942656411325
naranjero,39.27000015,-0.8901498091699659
muela,39.45998285,-6.993061014777964
enciso,42.13051265,-2.286911969659012
fervenza,43.197875,-8.061400626075084
ribeira  a,42.5778204,-9.008342633678708
riocobo,39.9208114,-6.3040059
torrejon (tajo   tietar),39.88342045,-5.925058029573112
canon santolea,40.74224755,-0.353888503773526
parras (las),40.81872275,-0.921203155389742
sistema escarra,42.7452319,-0.3527406056128417
alcaniz (estanca),42.1225803,-1.770060552265156
eiras,42.60612545,-1.112043285576722
tremp o talarn,,
cornalbo,42.60612545,-1.112043285576722
colada,38.509412600000005,-5.005877529954812
proserpina,38.9700287,-6.367615268654969
lechago,40.9563543,-1.2869015597716418
odiel,37.79217465,-6.618268436628036
bao,41.33985475,0.0938400473079545
san  estevo,42.0798949,0.7640458
portaje,39.87656595,-6.527613998592826
